YEAR,STATENAME,tax_property_hh,tax_property_business,tax_consumption_hh,tax_consumption_business,tax_income_total,tax_property_total,tax_consumption_total,state_population,tax_property_hh_pc,tax_property_business_pc,tax_consumption_hh_pc,tax_consumption_business_pc,tax_income_total_pc,tax_property_total_pc,tax_consumption_total_pc
2011,Vermont,475067000,900000000,148634000,400000000,556013000,1375067000,548634000,626979,758,1435,237,638,887,2193,875
2011,Virginia,5109570000,6300000000,2740267000,3800000000,9530628000,11409570000,6540267000,8100469,631,778,338,469,1177,1409,807
2011,Washington,4860271000,4100000000,6283168000,9800000000,0,8960271000,16083168000,6821655,712,601,921,1437,0,1314,2358
2011,West Virginia,329467000,1100000000,833905000,1100000000,1665885000,1429467000,1933905000,1856074,178,593,449,593,898,770,1042
2011,Wisconsin,5556076000,4500000000,3513079000,3000000000,6429115000,10056076000,6513079000,5704755,974,789,616,526,1127,1763,1142
2011,Wyoming,130422000,1100000000,469804000,700000000,0,1230422000,1169804000,567224,230,1939,828,1234,0,2169,2062
2011,United States Total,200871236000,244900000000,187892361000,210700000000,285293135000,445771236000,398592361000,311580009,645,786,603,676,916,1431,1279
2015,Alabama,579687000,2000000000,3152554000,3200000000,3450713000,2579687000,6352554000,4853160,119,412,650,659,711,532,1309
2015,Alaska,676062000,800000000,330413000,100000000,0,1476062000,430413000,737547,917,1085,448,136,0,2001,584
2015,Arizona,2010100000,5000000000,5636143000,5000000000,3760883000,7010100000,10636143000,6833596,294,732,825,732,550,1026,1556
2015,Arkansas,972031000,1100000000,3058839000,2100000000,2664153000,2072031000,5158839000,2978407,326,369,1027,705,894,696,1732
2015,California,27364451000,29600000000,30597305000,30600000000,77929551000,56964451000,61197305000,38953142,702,760,785,786,2001,1462,1571
